id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1,Male,Loyal Customer,54,Personal Travel,Eco,807,1,4,2,5,4,2,4,4,4,3,3,3,3,4,0,0.0,neutral or dissatisfied
2,Female,Loyal Customer,7,Personal Travel,Eco,916,3,2,3,4,3,4,3,2,3,3,5,2,2,3,6,0.0,neutral or dissatisfied
3,Male,disloyal Customer,34,Business travel,Eco,915,2,3,2,3,4,1,1,2,1,1,4,5,3,2,2,0.0,neutral or dissatisfied
4,Female,Loyal Customer,34,Business travel,Eco,1695,2,3,2,3,3,2,1,0,2,1,3,4,1,2,16,0.0,neutral or dissatisfied
5,Male,Loyal Customer,33,Business travel,Eco,639,2,3,1,2,2,2,3,3,2,2,3,3,3,2,0,0.0,neutral or dissatisfied
6,Female,disloyal Customer,52,Business travel,Eco,324,4,3,2,2,4,1,4,4,3,2,4,3,4,3,34,28.0,neutral or dissatisfied
7,Male,Loyal Customer,36,Business travel,Business,1423,4,4,3,2,3,3,5,5,5,4,2,4,4,4,0,0.0,neutral or dissatisfied
8,Female,Loyal Customer,34,Business travel,Business,989,4,3,3,1,3,4,3,3,3,2,4,2,4,3,0,0.0,satisfied
9,Male,Loyal Customer,40,Personal Travel,Eco Plus,1439,2,4,2,2,3,1,2,2,2,3,0,0,2,2,20,32.0,neutral or dissatisfied
10,Female,Loyal Customer,40,Business travel,Eco Plus,1319,5,5,5,3,2,5,2,2,2,1,3,5,1,2,10,0.0,satisfied
11,Male,Loyal Customer,22,Business travel,Business,1284,3,4,3,3,5,4,5,4,4,3,5,3,5,5,30,20.0,neutral or dissatisfied
12,Female,disloyal Customer,55,Personal Travel,Eco,666,4,4,4,3,3,3,2,3,3,2,3,4,3,2,0,0.0,neutral or dissatisfied
13,Male,Loyal Customer,31,Business travel,Business,2242,4,5,3,2,5,3,5,5,4,4,3,2,4,4,11,3.0,satisfied
14,Male,disloyal Customer,38,Business travel,Eco,960,1,3,0,5,4,1,3,3,3,1,3,3,2,2,0,0.0,neutral or dissatisfied
