Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Total_Delay,Overall_Service_Score
Male,Loyal Customer,54,Personal Travel,Eco,807.0,1,4,2,5,4,2,4,4,4,3,3,3,3,4,0.0,0.0,neutral or dissatisfied,0.0,3.3
Female,Loyal Customer,7,Personal Travel,Eco,916.0,3,2,3,4,3,4,3,2,3,3,5,2,2,3,6.0,0.0,neutral or dissatisfied,6.0,2.9
Male,disloyal Customer,34,Business travel,Eco,915.0,2,3,2,3,4,1,1,2,1,1,4,5,3,2,2.0,0.0,neutral or dissatisfied,2.0,2.5
Female,Loyal Customer,34,Business travel,Eco,1695.0,2,3,2,3,3,2,1,0,2,1,3,4,1,2,16.0,0.0,neutral or dissatisfied,16.0,1.9
Male,Loyal Customer,33,Business travel,Eco,639.0,2,3,1,2,2,2,3,3,2,2,3,3,3,2,0.0,0.0,neutral or dissatisfied,0.0,2.5
Female,disloyal Customer,52,Business travel,Eco,324.0,4,3,2,2,4,1,4,4,3,2,4,3,4,3,32.5,28.0,neutral or dissatisfied,60.5,3.5
Male,Loyal Customer,36,Business travel,Business,1423.0,4,4,3,2,3,3,5,5,5,4,2,4,4,4,0.0,0.0,neutral or dissatisfied,0.0,4.0
Female,Loyal Customer,34,Business travel,Business,989.0,4,3,3,1,3,4,3,3,3,2,4,2,4,3,0.0,0.0,satisfied,0.0,3.1
Male,Loyal Customer,40,Personal Travel,Eco Plus,1439.0,2,4,2,2,3,1,2,2,2,3,0,0,2,2,20.0,32.0,neutral or dissatisfied,52.0,1.8
Female,Loyal Customer,40,Business travel,Eco Plus,1319.0,5,5,5,3,2,5,2,2,2,1,3,5,1,2,10.0,0.0,satisfied,10.0,2.5
Male,Loyal Customer,22,Business travel,Business,1284.0,3,4,3,3,5,4,5,4,4,3,5,3,5,5,30.0,20.0,neutral or dissatisfied,50.0,4.2
Female,disloyal Customer,55,Personal Travel,Eco,666.0,4,4,4,3,3,3,2,3,3,2,3,4,3,2,0.0,0.0,neutral or dissatisfied,0.0,2.9
Male,Loyal Customer,31,Business travel,Business,2242.0,4,5,3,2,5,3,5,5,4,4,3,2,4,4,11.0,3.0,satisfied,14.0,4.0
Male,disloyal Customer,38,Business travel,Eco,960.0,1,3,0,5,4,1,3,3,3,1,3,3,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.5
Male,Loyal Customer,62,Business travel,Eco,878.0,3,4,2,0,3,2,3,3,3,3,5,2,2,3,2.0,0.0,neutral or dissatisfied,2.0,3.0
Female,Loyal Customer,84,Business travel,Business,2086.0,4,5,5,3,3,5,4,3,4,4,3,4,4,4,0.0,0.0,satisfied,0.0,3.7
Female,Loyal Customer,47,Business travel,Business,1655.0,3,5,4,5,3,4,3,3,3,3,4,1,3,3,28.0,23.0,neutral or dissatisfied,51.0,2.9
Female,Loyal Customer,14,Business travel,Eco,458.0,5,4,4,4,1,3,0,1,0,2,2,4,2,1,5.0,9.0,neutral or dissatisfied,14.0,1.8
Female,disloyal Customer,36,Personal Travel,Eco,726.0,3,3,4,2,2,4,3,3,2,2,3,2,3,2,0.0,0.0,satisfied,0.0,2.5
Female,Loyal Customer,66,Business travel,Business,1862.0,4,5,3,4,3,4,3,4,4,3,2,4,4,3,1.0,18.0,satisfied,19.0,3.4
Male,Loyal Customer,37,Personal Travel,Eco,1057.0,1,2,0,3,2,0,2,1,3,1,1,3,3,1,0.0,0.0,neutral or dissatisfied,0.0,1.8
Male,Loyal Customer,52,Personal Travel,Eco,825.0,2,3,1,3,2,2,3,2,3,0,4,2,2,3,1.0,0.0,satisfied,1.0,2.3
Female,disloyal Customer,52,Business travel,Business,1964.0,4,5,4,5,3,5,3,3,3,2,3,4,3,4,0.0,0.0,satisfied,0.0,3.2
Female,disloyal Customer,29,Business travel,Business,1863.0,2,1,2,4,3,2,3,4,3,2,2,4,3,4,1.0,5.0,satisfied,6.0,3.0
Male,Loyal Customer,68,Personal Travel,Eco,530.0,2,3,3,3,3,3,3,4,4,4,4,4,4,3,0.0,0.0,neutral or dissatisfied,0.0,3.5
Female,Loyal Customer,46,Business travel,Eco,2425.0,2,2,2,4,4,3,4,4,2,5,3,3,4,4,0.0,0.0,satisfied,0.0,3.5
Male,Loyal Customer,40,Business travel,Business,1606.0,4,4,4,3,5,4,4,4,5,5,4,3,5,5,0.0,0.0,satisfied,0.0,4.4
Male,Loyal Customer,38,Business travel,Eco Plus,701.0,2,4,3,2,3,2,3,2,2,3,3,1,3,3,20.0,25.0,neutral or dissatisfied,45.0,2.5
Female,Loyal Customer,22,Personal Travel,Eco,1161.0,2,4,3,2,2,2,1,2,2,2,3,4,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.2
Female,Loyal Customer,28,Business travel,Eco,1554.0,2,2,3,4,3,2,3,3,4,3,5,3,3,3,8.0,9.0,neutral or dissatisfied,17.0,3.2
Male,Loyal Customer,25,Business travel,Business,233.0,5,3,5,3,4,5,3,3,3,2,1,3,2,2,16.0,22.0,neutral or dissatisfied,38.0,2.8
Male,disloyal Customer,74,Business travel,Business,2207.0,4,5,3,2,4,4,4,4,3,4,4,4,4,4,1.0,19.0,neutral or dissatisfied,20.0,3.9
Male,Loyal Customer,56,Personal Travel,Eco,749.0,2,2,2,4,1,1,3,3,2,3,2,4,3,2,13.0,4.0,neutral or dissatisfied,17.0,2.5
Female,Loyal Customer,25,Business travel,Eco,727.0,3,4,3,3,1,3,3,2,3,3,4,4,2,2,5.0,0.0,neutral or dissatisfied,5.0,2.7
Female,Loyal Customer,68,Personal Travel,Eco,1027.0,1,4,1,4,3,1,3,4,4,3,3,2,3,3,0.0,0.0,neutral or dissatisfied,0.0,2.9
Female,Loyal Customer,60,Business travel,Eco Plus,107.0,4,5,4,2,3,4,3,3,3,2,1,2,3,3,0.0,0.0,neutral or dissatisfied,0.0,2.7
Male,Loyal Customer,30,Business travel,Eco,1390.0,2,2,2,3,1,2,1,1,1,1,3,4,1,1,17.0,9.0,neutral or dissatisfied,26.0,1.6
Female,Loyal Customer,48,Business travel,Business,2371.0,5,3,4,3,4,4,3,3,3,3,3,3,4,4,4.0,0.0,satisfied,4.0,3.5
Male,Loyal Customer,30,Business travel,Eco,886.0,2,5,1,3,2,2,2,2,2,1,4,5,2,2,3.0,9.0,neutral or dissatisfied,12.0,2.4
Female,Loyal Customer,55,Business travel,Business,1306.0,5,5,4,2,5,4,5,5,5,5,5,3,4,5,0.0,0.0,satisfied,0.0,4.7
Male,Loyal Customer,47,Personal Travel,Eco,272.0,4,5,4,3,3,4,2,2,4,3,5,2,3,3,0.0,0.0,neutral or dissatisfied,0.0,3.1
Male,disloyal Customer,34,Business travel,Business,251.0,5,5,5,3,4,4,5,5,4,3,3,4,4,4,0.0,0.0,satisfied,0.0,4.1
Male,Loyal Customer,21,Personal Travel,Business,71.0,4,4,3,3,5,3,5,4,5,5,4,3,5,5,14.0,3.0,satisfied,17.0,4.5
Female,Loyal Customer,39,Business travel,Eco,756.0,1,2,3,1,3,2,3,3,3,3,5,3,3,4,32.5,40.0,neutral or dissatisfied,72.5,3.1
Female,disloyal Customer,47,Business travel,Business,1549.0,5,5,5,3,4,5,5,5,4,5,1,5,4,5,0.0,0.0,neutral or dissatisfied,0.0,4.3
Female,Loyal Customer,60,Business travel,Business,860.0,5,5,5,3,4,4,2,4,4,3,5,3,4,4,5.0,6.0,satisfied,11.0,3.8
Male,Loyal Customer,49,Personal Travel,Eco,358.0,2,3,2,2,2,2,2,2,1,3,4,3,2,2,19.0,9.0,neutral or dissatisfied,28.0,2.3
Male,Loyal Customer,54,Business travel,Business,1787.0,4,5,5,3,3,5,4,4,4,3,3,3,3,5,0.0,0.0,satisfied,0.0,3.6
Female,Loyal Customer,29,Business travel,Business,571.0,2,3,4,1,5,4,4,4,4,4,4,3,4,4,0.0,0.0,satisfied,0.0,3.8
Female,Loyal Customer,10,Business travel,Eco,1609.0,2,3,2,3,3,2,2,3,2,4,5,2,2,3,5.0,0.0,neutral or dissatisfied,5.0,2.8
Male,Loyal Customer,15,Business travel,Eco Plus,1713.0,3,2,4,3,4,3,3,4,5,4,1,2,5,4,0.0,0.0,neutral or dissatisfied,0.0,3.5
Male,Loyal Customer,36,Business travel,Eco Plus,670.0,3,5,1,2,4,3,4,5,4,3,3,4,4,4,8.0,12.0,neutral or dissatisfied,20.0,3.8
Male,Loyal Customer,28,Personal Travel,Eco,996.0,1,1,1,2,2,0,2,3,3,1,3,5,2,3,0.0,0.0,neutral or dissatisfied,0.0,2.5
