Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Total_Delay,Overall_Service_Score,Class_encoded,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel
54,-0.03064699205448354,1,4,2,5,4,2,4,4,4,3,3,3,3,4,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,3.3,0.0,1.0,0.0,1.0
7,0.09307604994324631,3,2,3,4,3,4,3,2,3,3,5,2,2,3,0.23076923076923078,-0.0625,neutral or dissatisfied,6.0,2.9,0.0,0.0,0.0,1.0
34,0.09194097616345062,2,3,2,3,4,1,1,2,1,1,4,5,3,2,-0.07692307692307693,-0.0625,neutral or dissatisfied,2.0,2.5,0.0,1.0,1.0,0.0
34,0.9772985244040863,2,3,2,3,3,2,1,0,2,1,3,4,1,2,1.0,-0.0625,neutral or dissatisfied,16.0,1.9,0.0,0.0,0.0,0.0
33,-0.2213393870601589,2,3,1,2,2,2,3,3,2,2,3,3,3,2,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.5,0.0,1.0,0.0,0.0
52,-0.5788876276958003,4,3,2,2,4,1,4,4,3,2,4,3,4,3,2.269230769230769,1.6875,neutral or dissatisfied,60.5,3.5,0.0,0.0,1.0,0.0
36,0.6685584562996595,4,4,3,2,3,3,5,5,5,4,2,4,4,4,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,4.0,2.0,1.0,0.0,0.0
34,0.17593643586833144,4,3,3,1,3,4,3,3,3,2,4,2,4,3,-0.23076923076923078,-0.0625,satisfied,0.0,3.1,2.0,0.0,0.0,0.0
40,0.6867196367763905,2,4,2,2,3,1,2,2,2,3,0,0,2,2,1.3076923076923077,1.9375,neutral or dissatisfied,52.0,1.8,1.0,1.0,0.0,1.0
40,0.5505107832009081,5,5,5,3,2,5,2,2,2,1,3,5,1,2,0.5384615384615384,-0.0625,satisfied,10.0,2.5,1.0,0.0,0.0,0.0
22,0.5107832009080591,3,4,3,3,5,4,5,4,4,3,5,3,5,5,2.076923076923077,1.1875,neutral or dissatisfied,50.0,4.2,2.0,1.0,0.0,0.0
55,-0.19069239500567536,4,4,4,3,3,3,2,3,3,2,3,4,3,2,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.9,0.0,0.0,1.0,1.0
31,1.5981838819523269,4,5,3,2,5,3,5,5,4,4,3,2,4,4,0.6153846153846154,0.125,satisfied,14.0,4.0,2.0,1.0,0.0,0.0
38,0.14301929625425652,1,3,0,5,4,1,3,3,3,1,3,3,2,2,-0.23076923076923078,-0.0625,neutral or dissatisfied,0.0,2.5,0.0,1.0,1.0,0.0
62,0.049943246311010214,3,4,2,0,3,2,3,3,3,3,5,2,2,3,-0.07692307692307693,-0.0625,neutral or dissatisfied,2.0,3.0,0.0,1.0,0.0,0.0
84,1.4211123723041998,4,5,5,3,3,5,4,3,4,4,3,4,4,4,-0.23076923076923078,-0.0625,satisfied,0.0,3.7,2.0,0.0,0.0,0.0
47,0.9318955732122588,3,5,4,5,3,4,3,3,3,3,4,1,3,3,1.9230769230769231,1.375,neutral or dissatisfied,51.0,2.9,2.0,0.0,0.0,0.0
